,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Pressure,Wind Speed,Real Feel Temp,City ID
0,Atasū,KZ,2,1634661739,34,48.6814,71.6433,47.84,47.84,1017,7.94,44.17,1526041
1,Rikitea,PF,5,1634661683,72,-23.1203,-134.9692,74.71,74.71,1024,21.47,75.27,4030556
2,Arona,ES,0,1634661740,48,28.0996,-16.681,80.51,70.72,1016,12.66,75.52,2521582
3,Borogontsy,RU,100,1634661741,94,62.6683,131.1683,15.49,15.49,1014,3.58,9.64,2026160
4,San Cristobal,VE,20,1634661742,51,7.7669,-72.225,80.78,80.78,1013,6.76,81.64,3628473
5,Torbay,CA,20,1634661743,72,47.6666,-52.7314,59.76,57.27,1003,13.8,57.51,6167817
6,Albany,US,6,1634661743,52,42.6001,-73.9662,62.15,52.38,1011,1.01,55.15,5106841
7,Cape Town,ZA,0,1634661713,60,-33.9258,18.4232,68.41,66.88,1019,3.0,66.2,3369157
8,Marathon,US,1,1634661744,58,44.9,-89.7668,66.16,61.48,1016,1.01,62.53,5261790
9,Pevek,RU,100,1634661745,92,69.7008,170.3133,14.16,14.16,1002,15.95,1.56,2122090
10,Saint-Philippe,RE,72,1634661746,78,-21.3585,55.7679,74.79,72.48,1022,9.08,74.8,935215
11,Harlingen,US,1,1634661617,77,26.1906,-97.6961,85.19,80.06,1017,10.36,88.11,4696233
12,Upernavik,GL,100,1634661704,66,72.7868,-56.1549,34.5,34.5,1018,14.72,24.89,3418910
13,Isangel,VU,100,1634661748,91,-19.55,169.2667,75.63,75.63,1014,4.43,77.18,2136825
14,Ribeira Grande,PT,40,1634661644,68,38.5167,-28.7,72.0,72.0,1020,11.5,72.09,3372707
15,Singapore,SG,75,1634661478,82,1.2897,103.8501,84.09,78.15,1013,2.3,91.2,1880252
16,Coquimbo,CL,90,1634661531,82,-29.9533,-71.3436,56.93,56.93,1017,11.5,56.17,3893629
17,Tiksi,RU,100,1634661546,96,71.6872,128.8694,17.62,17.62,1001,7.36,7.86,2015306
18,Ponta do Sol,PT,91,1634661621,48,32.6667,-17.1,81.12,75.83,1020,3.2,81.61,2264557
19,Puerto Ayora,EC,68,1634661544,79,-0.7393,-90.3518,78.76,78.76,1015,10.0,78.76,3652764
20,Santa Lucía,ES,20,1634661752,68,27.9117,-15.5407,75.76,68.11,1017,20.71,70.92,2511150
21,Benjamin Constant,BR,75,1634661753,74,-4.3831,-70.0311,87.93,84.25,1014,6.91,92.43,3665016
22,Veinticinco de Mayo,AR,1,1634661753,31,-35.4323,-60.1727,75.06,71.98,1024,4.0,70.34,3833112
23,‘Ewa Beach,US,1,1634661660,75,21.3156,-158.0072,75.15,69.17,1018,4.0,72.79,5855051
24,Ardakān,IR,0,1634661754,13,32.31,54.0175,75.58,75.58,1011,3.06,73.45,143073
25,Norman Wells,CA,75,1634661633,92,65.282,-126.8329,14.04,14.04,1012,3.44,8.2,6089245
26,Beringovskiy,RU,100,1634661756,88,63.05,179.3167,30.15,30.15,980,10.76,21.04,2126710
27,Grand-Santi,GF,72,1634661756,44,4.25,-54.3833,92.03,92.03,1009,0.89,95.58,3381538
28,Busselton,AU,100,1634661757,73,-33.65,115.3333,55.04,54.09,1003,25.88,53.67,2075265
29,Le Marin,MQ,75,1634661758,66,14.4721,-60.8697,88.72,87.71,1013,12.66,98.02,3570426
30,Kaitangata,NZ,21,1634661553,72,-46.2817,169.8464,42.93,42.93,1028,8.23,38.05,2208248
31,St. George's,GD,40,1634661759,79,12.0564,-61.7485,85.68,85.68,1013,16.11,98.28,3579925
32,Churapcha,RU,100,1634661760,95,62.0025,132.4325,16.12,16.12,1015,3.62,10.31,2025241
33,Khatanga,RU,100,1634661761,93,71.9667,102.5,29.37,29.37,998,14.61,18.37,2022572
34,Castro,BR,100,1634661761,95,-24.7911,-50.0119,56.16,56.16,1018,7.43,55.94,3466704
35,Ilulissat,GL,75,1634661762,30,69.2167,-51.1,39.22,39.22,1020,17.27,30.16,3423146
36,Vilhena,BR,40,1634661763,69,-12.7406,-60.1458,82.62,82.62,1017,11.5,87.37,3924679
37,Hambantota,LK,46,1634661763,78,6.1241,81.1185,79.93,79.93,1012,11.63,79.93,1244926
38,Ancud,CL,5,1634661764,74,-41.8697,-73.8203,67.53,67.53,1016,6.29,67.46,3899695
39,Saint-Pierre,RE,20,1634661765,75,-21.3393,55.4781,74.88,72.57,1020,0.0,74.71,935214
40,Saint-Joseph,RE,67,1634661637,78,-21.3667,55.6167,73.78,71.47,1022,6.96,73.69,6690296
41,São João da Barra,BR,100,1634661630,94,-21.6403,-41.0511,73.49,73.49,1016,12.75,74.97,3448903
42,Hermanus,ZA,0,1634661767,69,-34.4187,19.2345,64.8,64.8,1020,14.65,64.22,3366880
43,Cabo San Lucas,MX,1,1634661503,65,22.8909,-109.9124,85.6,77.14,1015,11.5,84.22,3985710
44,Bucerías,MX,1,1634661525,69,20.75,-105.3333,84.97,82.38,1013,0.0,86.94,4016734
45,Rocha,UY,4,1634661618,47,-34.4833,-54.3333,68.94,68.94,1022,3.47,67.73,3440777
46,Mahajanga,MG,20,1634661769,69,-15.7167,46.3167,80.62,80.62,1014,11.5,83.82,1062663
47,Asău,RO,83,1634661737,73,46.4333,26.4,50.92,48.4,1026,1.41,49.98,686090
48,Dikson,RU,100,1634661770,57,73.5069,80.5464,27.25,27.25,1001,12.97,16.36,1507390
49,Lesnoy,RU,100,1634661771,79,57.6198,63.0784,47.88,47.88,1007,7.0,44.64,6853140
50,Khandyga,RU,100,1634661771,93,62.6667,135.6,9.79,9.79,1017,4.09,2.26,2022773
51,Hobart,AU,53,1634661772,87,-42.8794,147.3294,41.05,38.12,1025,1.01,40.42,2163355
52,East London,ZA,20,1634661503,63,-33.0153,27.9116,65.34,65.34,1026,13.8,64.53,1006984
53,Rome,US,20,1634661723,75,43.2128,-75.4557,62.65,55.38,1014,1.99,56.3,5134295
54,Constitución,CL,2,1634661774,54,-35.3333,-72.4167,66.83,66.83,1013,5.82,65.75,3893726
55,Jamestown,US,40,1634661553,60,42.097,-79.2353,65.3,60.51,1018,5.99,62.04,5122534
56,Hithadhoo,MV,70,1634661709,75,-0.6,73.0833,82.71,82.71,1013,11.92,89.11,1282256
57,Beloha,MG,100,1634661776,77,-25.1667,45.05,67.57,67.57,1022,11.99,67.64,1067565
58,Camaná,PE,86,1634661776,68,-16.6228,-72.7111,68.36,68.36,1015,9.98,68.09,3945985
59,George Town,MY,40,1634661777,93,5.4112,100.3354,78.75,77.9,1014,5.01,80.08,1735106
60,Saint-François,FR,0,1634661646,49,46.4154,3.9054,71.04,71.04,1022,2.3,70.14,2980080
